Country Name,"Compulsory education, duration (years)",Urban population (% of total population)
Zambia,7,46.335
Zimbabwe,7,32.517
Africa Eastern and Southern,7.5,38.33533732
Africa Western and Central,9,49.6354097
Arab World,9,59.8277579
Caribbean small states,..,46.97723116
Central Europe and the Baltics,10,63.03468316
Early-demographic dividend,10,47.13457982
East Asia & Pacific,9,62.98713329
East Asia & Pacific (excluding high income),9,60.0487215
East Asia & Pacific (IDA & IBRD countries),9,60.01000107
Euro area,11,77.9667649
Europe & Central Asia,11,73.30692208
Europe & Central Asia (excluding high income),10,64.34551775
Europe & Central Asia (IDA & IBRD countries),10,67.2022783
European Union,11,75.71272661
Fragile and conflict affected situations,9,44.77675184
Heavily indebted poor countries (HIPC),8,38.51736431
High income,11,81.14707603
IBRD only,10,58.02426804
IDA & IBRD total,9,52.88279618
IDA blend,9,44.61762452
IDA only,9,36.80023302
IDA total,9,39.38762351
Late-demographic dividend,10,66.40835952
Latin America & Caribbean,13,81.86847314
Latin America & Caribbean (excluding high income),14,81.48439465
Latin America & the Caribbean (IDA & IBRD countries),14,81.8840054
Least developed countries: UN classification,8,36.37681946
Low & middle income,9,52.13309862
Low income,9,35.02012643
Lower middle income,9,40.9606603
Middle East & North Africa,9.5,66.37234179
Middle East & North Africa (excluding high income),9,62.8072826
Middle East & North Africa (IDA & IBRD countries),9,62.62799103
Middle income,10,54.2414098
North America,11,83.14731062
Not classified,..,..
OECD members,11,81.68489212
Other small states,9,59.48061827
Pacific island small states,..,39.82153546
Post-demographic dividend,11,82.31513981
Pre-demographic dividend,9,44.14837552
Small states,9,54.88795678
South Asia,9,36.31229778
South Asia (IDA & IBRD),9,36.31229778
Sub-Saharan Africa,8,42.91023696
Sub-Saharan Africa (excluding high income),8,42.90870241
Sub-Saharan Africa (IDA & IBRD countries),8,42.91023696
Upper middle income,10,68.7076785
World,10,57.33716155
